customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
Upf4YBA1WMA;UpfrontBidAskSpread4y1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf4YBA1MMA;UpfrontBidAskSpread4y1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf4YBA2MMA;UpfrontBidAskSpread4y2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv4YMid;ConventionalSpreadMid4y;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;4Y;nvarchar(50);Listing;
Conv4YBASpread;ConventionalBidAskSpread4y;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;4Y;nvarchar(50);Listing;
Conv4YBA1WMA;ConventionalBidAskSpread4y1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv4YBA1MMA;ConventionalBidAskSpread4y1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv4YBA2MMA;ConventionalBidAskSpread4y2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
4YUniquePP;UniquePricePoint4y;;int;dbo;Curve;UniquePricePoint;Tenor;Code;4Y;nvarchar(50);Listing;
4YUniquePP1WMA;UniquePricePoint4y1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
4YUniquePP1MMA;UniquePricePoint4y1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
4YUniquePP2MMA;UniquePricePoint4y2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
4YDealersCount;DealerQuoteSizeTenor4y;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;4Y;nvarchar(50);Listing;
DC4Y1WMA;DealerQuoteSizeTenor4y1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
