ISIN,RIC,Currency Code,Trade Date,Close Price,MIC
DE000BU2Z023,DEBU2Z02=RRPS,EUR,9/9/2025,97.406,XAMS
DE000BU35025,DEBU3502=RRPS,EUR,9/9/2025,100.084,XAMS
DE000BU3Z047,DEBU3Z04=RRPS,EUR,9/9/2025,98.968,XAMS
DE000BYL0AZ1,DEBYL0AZ=RRPS,EUR,9/9/2025,100.839,XAMS
DE000BYL0BH7,DEBYL0BH=RRPS,EUR,9/9/2025,102.478,XAMS
DE000CZ40MB7,DECZ40MB=RRPS,EUR,9/9/2025,97.051,XAMS
DE000CZ40MC5,DECZ40MC=RRPS,EUR,9/9/2025,99.969,XAMS
DE000CZ439P6,DECZ439P=RRPS,EUR,9/9/2025,100.831,XAMS
DE000CZ43Z15,DECZ43Z1=RRPS,EUR,9/9/2025,100.369,XAMS
DE000CZ45VM4,DECZ45VM=RRPS,EUR,9/9/2025,98,XAMS
DE000CZ45VS1,DECZ45VS=RRPS,EUR,9/9/2025,89.505,XAMS
DE000CZ45W16,DECZ45W1=RRPS,EUR,9/9/2025,97.618,XAMS
DE000CZ45WY7,DECZ45WY=RRPS,EUR,9/9/2025,85.917,XAMS
DE000CZ45YX5,DECZ45YX=RRPS,EUR,9/9/2025,100.721,XAMS
DE000CZ45ZU8,DECZ45ZU=RRPS,EUR,9/9/2025,100.333,XAMS
DE000CZ45ZV6,DECZ45ZV=RRPS,EUR,9/9/2025,100.888,XAMS
DE000CZ45ZW4,DECZ45ZW=RRPS,EUR,9/9/2025,99.787,XAMS
DE000CZ45ZY0,DECZ45ZY=RRPS,EUR,9/9/2025,100.521,XAMS
DE000DK01107,DEDK0110=F,EUR,9/9/2025,100.87,XETR
