customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
Liquidity Score 30 Day Count,LiquidityScoreSize30d,,int,dbo,QualityMonitor,LiquidityScoreSize,Period,Code,30 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 60 Day,LiquidityScore60d,,int,dbo,QualityMonitor,LiquidityScore,Period,Code,60 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 60 Day Count,LiquidityScoreSize60d,,int,dbo,QualityMonitor,LiquidityScoreSize,Period,Code,60 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 90 Day,LiquidityScore90d,,int,dbo,QualityMonitor,LiquidityScore,Period,Code,90 Day,nvarchar(50),CurveQualityMonitor,
Liquidity Score 90 Day Count,LiquidityScoreSize90d,,int,dbo,QualityMonitor,LiquidityScoreSize,Period,Code,90 Day,nvarchar(50),CurveQualityMonitor,
Depth Merit,DepthMerit,,int,dbo,Curve,DepthMerit,,,,,Listing,
Bid Ask Merit,BidAskMerit,,int,dbo,Curve,BidAskMerit,,,,,Listing,
Maturity Merit,MaturityMerit,,int,dbo,Curve,MaturityMerit,,,,,Listing,
Shadow Liquidity,ShadowLiquidity,,boolean,dbo,Curve,ShadowLiquidity,,,,,Listing,
Total number of Merits,NumberOfMeritsTotal,,int,dbo,Curve,NumberOfMeritsTotal,,,,,Listing,
Source Count,SourceCount,,int,dbo,Curve,SourceCount,,,,,Listing,
Quotes Dealer Count 1 Day,DealerQuoteSize1d,,int,dbo,QualityMonitor,DealerQuoteSize,Period,Code,1 Day,nvarchar(50),CurveQualityMonitor,
Instrument Depth 1 Day,Depth1d,,int,dbo,QualityMonitor,Depth,Period,Code,1 Day,nvarchar(50),CurveQualityMonitor,
Quotes Dealer Count 10 Day,DealerQuoteSize10d,,int,dbo,QualityMonitor,DealerQuoteSize,Period,Code,10 Day,nvarchar(50),CurveQualityMonitor,
Instrument Depth 10 Day,Depth10d,,int,dbo,QualityMonitor,Depth,Period,Code,10 Day,nvarchar(50),CurveQualityMonitor,
Trace Last Trade Date,TradeDate,,date,dbo,LastPrice,TradeDate,,,,,Listing,
Trace Entity Trade Volume 1 Day,EntityVolume,,BigInteger,dbo,LastPriceTurnover,EntityVolume,,,,,Listing,
Trace Entity Trade Volume 10 Day,EntityVolume10Days,,BigInteger,dbo,LastPriceTurnover,EntityVolume10Days,,,,,Listing,
Trace Entity Trade Volume 30 Day,EntityVolume30Days,,BigInteger,dbo,LastPriceTurnover,EntityVolume30Days,,,,,Listing,
Trace Entity Trade Volume 60 Day,EntityVolume60Days,,BigInteger,dbo,LastPriceTurnover,EntityVolume60Days,,,,,Listing,
Trace Entity Trade Volume 90 Day,EntityVolume90Days,,BigInteger,dbo,LastPriceTurnover,EntityVolume90Days,,,,,Listing,
Trace Sector Trade Volume 1 Day,SectorVolume1Day,,BigInteger,dbo,LastPriceTurnover,SectorVolume1Day,,,,,Listing,
Trace Sector Trade Volume 10 Day,SectorVolume10Days,,BigInteger,dbo,LastPriceTurnover,SectorVolume10Days,,,,,Listing,
